Brand_name,Price,Discount_item_clean,Discounted_Price_clean,Ratings_clean,Shades_clean
Kay Beauty,899.0,10.0,809,4999.0,
MyGlamm LIT,395.0,40.0,237,11137.0,13.0
House of,299.0,10.0,269,128.0,5.0
M.A.C MACximal,,,2550,38.0,4.0
Anastasia Beverly,2600.0,40.0,1560,112.0,3.0
MyGlamm LIT,395.0,40.0,237,11137.0,13.0
House of,299.0,10.0,269,128.0,5.0
M.A.C MACximal,,,2550,38.0,4.0
MARS Edge,790.0,5.0,751,42.0,
Renee Cosmetics,125.0,21.0,99,76.0,3.0
Too Faced,,,2350,198.0,8.0
Mila Beaut,199.0,15.0,169,221.0,24.0
,,,890,484.0,2.0
Flossy Cosmetics,,,799,144.0,7.0
Coloressence Pout,225.0,5.0,214,2137.0,7.0
Just Herbs,445.0,20.0,356,436.0,24.0
e.l.f. Cosmetics,550.0,10.0,495,116.0,5.0
Bella Vita,449.0,56.0,198,114.0,10.0
Ras Luxury,1090.0,20.0,872,1231.0,6.0
Earth Rhythm,615.0,50.0,308,388.0,12.0
Recode Hydrating,440.0,10.0,396,702.0,17.0
Armani Lip,,,3500,1.0,9.0
Insight Cosmetics,,,200,13.0,12.0
DIAM BEAUTY,,,849,70.0,2.0
TYPE Beauty,799.0,10.0,719,22.0,6.0
Mila Beaut,169.0,12.0,149,177.0,20.0
LoveChild Masaba,900.0,12.0,792,93.0,6.0
Pilgrim Matte,745.0,22.0,581,17.0,4.0
Chambor Matte,425.0,20.0,340,1858.0,16.0
Colorbar Starry,1299.0,22.0,1013,763.0,5.0
MARS Clear,199.0,10.0,179,1045.0,
Kay Beauty,899.0,10.0,809,4999.0,
SUGAR POP,299.0,40.0,179,2678.0,5.0
Nykaa Cosmetics,1350.0,30.0,945,77834.0,
VERYMISS Matte,150.0,30.0,105,793.0,22.0
Lotus Make,345.0,20.0,276,3127.0,5.0
Colorbar XOXO,275.0,30.0,193,516.0,12.0
TYPE Beauty,799.0,10.0,719,37.0,6.0
Just Herbs,749.0,20.0,599,38.0,3.0
Just Herbs,595.0,27.0,434,869.0,15.0
Love Earth,2499.0,60.0,999,44.0,
Insight Cosmetics,,,280,3033.0,23.0
PAC Colorlock,,,385,1807.0,17.0
KIRO Afterglow,800.0,15.0,680,185.0,4.0
DIOR Rogue,,,4500,3.0,4.0
Renee Cosmetics,750.0,15.0,639,555.0,
Shiseido ModernMatte,2700.0,50.0,1350,64.0,13.0
Estee Lauder,,,3800,78.0,5.0
Simply Nam,899.0,10.0,809,5.0,3.0
Colors Queen,325.0,15.0,276,508.0,24.0
Innisfree Fruity,890.0,15.0,757,20.0,5.0
,199.0,8.0,183,43.0,3.0
LoveChild Masaba,650.0,17.0,540,77.0,12.0
BLUR INDIA,599.0,9.0,545,14.0,
LAMEL Let,550.0,5.0,523,20.0,4.0
